,10_AE1712_C14_N14_19_200m_c_1,10_AE1712_C14_N14_19_200m_v_1,11_AE1712_C16_N1_7_80m_c_1,11_AE1712_C16_N1_7_80m_v_1,12_AE1712_C16_N8_14_200m_c_1,12_AE1712_C16_N8_14_200m_v_1,1_AE1712_C3_N1_7_80m_c_1,1_AE1712_C3_N1_7_80m_v_1,2_AE1712_C3_N8_14_200m_c_1,3_AE1712_C6_N1_7_80m_c_1,3_AE1712_C6_N1_7_80m_v_1,4_AE1712_C6_N8_17_200m_c_1,4_AE1712_C6_N8_17_200m_v_1,5_AE1712_C8_N7_12_80m_c_1,5_AE1712_C8_N7_12_80m_v_1,6_AE1712_C8_N19_24_200m_c_1,6_AE1712_C8_N19_24_200m_v_1,7_AE1712_C11_N1_7_80m_c_1,7_AE1712_C11_N1_7_80m_v_1,8_AE1712_C11_N8_14_200m_c_1,8_AE1712_C11_N8_14_200m_v_1,9_AE1712_C14_N3_8_80m_c_1,9_AE1712_C14_N3_8_80m_v_1
6_AE1712_C8_N19_24_200m_c_NODE_836_length_10134_cov_5.096947,3.4195,6.9757,0,0,6.796,8.4064,0,0,3.8891,0,0,2.6748,0,0,0,5.2977,7.6906,0,0,5.4661,4.2654,0,0
6_AE1712_C8_N19_24_200m_c_NODE_852_length_10040_cov_7.483890,8.844,0,0,0,2.5614,0,0,0,6.4807,10.6149,0,3.0906,0,0,0,12.9382,0,0,0,6.9771,0,4.8962,0
6_AE1712_C8_N19_24_200m_c_NODE_855_length_10028_cov_6.238368,9.1509,0,0,0,7.6904,0,0,0,3.7205,0,0,2.9617,0,0,0,5.808,0,0,0,5.5917,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_37_length_63705_cov_23.012620,33.933,3.3424,0,0,36.336,2.3189,0,0,21.0069,0,0,17.4704,0,0,0,25.86,0,0,0,35.0654,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_61_length_50817_cov_48.137505,266.8262,0,0,0,148.3485,0,0,0,57.3664,0,0,45.1808,0,0,0,133.4223,0,0,0,73.824,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_99_length_39374_cov_19.402575,36.8577,0,3.7459,0,54.5532,0,9.3876,0,25.2368,33.0096,0,20.8185,0,5.5917,0,40.3028,0,0,0,30.1805,0,21.9899,0
8_AE1712_C11_N8_14_200m_c_NODE_252_length_23349_cov_9.326358,11.5498,0,0,0,13.6919,0,0,0,10.056,0,0,9.0629,0,0,0,12.011,0,0,0,14.1359,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_260_length_22961_cov_18.324331,11.4592,9.4527,0,0,14.4349,4.3451,0,0,8.9193,0,0,8.1716,3.3318,0,0,10.2347,5.7761,0,0,22.9335,2.5306,0,0
8_AE1712_C11_N8_14_200m_c_NODE_534_length_16245_cov_6.637865,4.1169,9.9016,0,0,13.1506,8.6385,0,0,5.2486,0,0,5.0625,2.2261,0,0,5.6626,5.1411,0,0,10.1632,2.795,0,0
8_AE1712_C11_N8_14_200m_c_NODE_632_length_14653_cov_6.940862,7.6952,3.4563,0,0,10.5273,0,0,0,7.0067,0,0,5.5216,0,0,0,7.8146,0,0,0,10.9528,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_797_length_13133_cov_7.301930,0,4.2029,0,0,11.2688,7.821,0,0,7.2948,0,0,6.2354,4.9695,0,0,5.1351,9.569,0,0,11.6558,6.1881,0,0
8_AE1712_C11_N8_14_200m_c_NODE_854_length_12725_cov_8.721300,7.0161,4.1275,0,0,7.3883,4.8832,0,0,8.2195,0,0,7.3067,0,0,0,7.1768,2.475,0,0,11.6461,2.0318,0,0
8_AE1712_C11_N8_14_200m_c_NODE_913_length_12243_cov_5.179352,2.8454,0,0,0,3.6711,0,0,0,5.4522,0,0,3.1786,0,0,0,4.6154,0,0,0,7.606,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_920_length_12188_cov_6.520271,4.4469,0,0,0,5.73,0,0,0,6.3169,0,0,4.539,0,0,0,5.7623,0,0,0,6.9402,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_989_length_11741_cov_12.775206,10.9136,14.6558,0,0,19.8839,13.9388,0,0,15.1805,0,0,11.8487,0,0,0,13.2308,13.321,0,0,21.3073,6.1252,0,0
8_AE1712_C11_N8_14_200m_c_NODE_1029_length_11435_cov_8.309297,6.5383,0,0,0,10.6255,0,0,0,9.9633,0,0,7.9602,0,0,0,10.1283,0,0,0,13.0493,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_1177_length_10621_cov_7.272477,3.4318,0,0,0,12.4846,0,0,0,10.3098,0,0,10.5271,0,0,0,6.7886,0,0,0,11.7602,0,0,0
8_AE1712_C11_N8_14_200m_c_NODE_1251_length_10310_cov_9.577739,3.8714,6.7048,0,0,3.7809,3.5954,0,0,6.1879,0,0,7.3917,0,0,0,7.5812,4.6205,0,0,14.9491,0,0,0
9_AE1712_C14_N3_8_80m_c_NODE_11_length_36452_cov_489.230296,0,0,10.9503,0,0,0,58.8448,0,0,561.8147,0,0,0,22.4214,0,0,0,26.1444,0,0,0,749.5645,0
9_AE1712_C14_N3_8_80m_c_NODE_22_length_31270_cov_13.890424,0,0,0,0,0,0,2.7485,0,0,14.3608,0,0,0,0,0,0,0,0,0,0,0,13.8198,0
